,FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS
38,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_19.txt,432,19,935731,155971,303504,2000,1239235,157971,1,1588,359,1222790,8110,1224378,8469,43,7,13
39,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_6.txt,576,18,1244178,186642,301755,2000,1545933,188642,1,2486,495,1212139,8095,1214625,8590,42,6,13
40,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_4.txt,624,21,16379537,457454,302098,2012,16681635,459466,3,11880529,144822,1527381,10132,13407910,154954,62,5,17
41,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_8.txt,672,22,2563286,325270,300557,2000,2863843,327270,1,31745,1488,1449416,9641,1481161,11129,52,7,16
42,Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_14.txt,702,23,8071826,470458,299421,2001,8371247,472459,2,9572253,113764,1752307,11655,11324560,125419,68,4,20
43,Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_15.txt,728,19,14539516,416474,299967,2008,14839483,418482,3,5448155,79098,1520769,10137,6968924,89235,55,3,17
44,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_8.txt,864,23,2970887,457079,300259,2000,3271146,459079,1,15719,795,1527020,10132,1542739,10927,55,7,17
65,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_5.txt,312,18,724482,101106,299575,2000,1024057,103106,1,27860,1683,1292867,8606,1320727,10289,44,5,14
66,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_2.txt,384,18,15217610,274964,303520,2015,15521130,276979,3,5632740,75457,1369386,9119,7002126,84576,50,4,15
67,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_12.txt,384,20,1196820,153620,297790,2000,1494610,155620,1,42309,1689,1365239,9111,1407548,10800,48,6,15
68,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_19.txt,432,19,935731,155971,299525,2000,1235256,157971,1,8141,468,1218700,8104,1226841,8572,43,7,13
69,Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_20.txt,432,18,886482,139986,301092,2000,1187574,141986,1,11113,643,1215784,8105,1226897,8748,42,6,13
70,Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_14.txt,576,23,2424959,304727,300916,2000,2725875,306727,1,32988,1797,1602153,10657,1635141,12454,57,6,18
71,Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_14.txt,576,22,2311606,278806,300705,2000,2612311,280806,1,38910,1866,1599355,10638,1638265,12504,56,5,18
72,Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_6.txt,576,18,1244178,186642,298432,2000,1542610,188642,1,5983,603,1219858,8115,1225841,8718,42,6,13
73,Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_15.txt,728,19,9771404,356924,300546,2009,10071950,358933,2,5804008,80151,1524464,10122,7328472,90273,55,3,17
